date,job_scarcity,consumer_anxiety,job_scarcity_z,consumer_anxiety_z,STI
2017-05-01,-1.49,-43.7,-1.4166251746439187,-1.1528167590706497,-1.284720966857284
2017-06-01,-1.5,-43.3,-1.446075271558158,-1.0685779092948906,-1.2573265904265243
2017-07-01,-1.51,-44.1,-1.4755253684723972,-1.2370556088464075,-1.3562904886594023
2017-08-01,-1.52,-43.7,-1.5049754653866365,-1.1528167590706497,-1.3288961122286431
2017-09-01,-1.53,-44.1,-1.5344255623008758,-1.2370556088464075,-1.3857405855736418
2017-10-01,-1.55,-44.6,-1.5933257561293543,-1.3423541710661049,-1.4678399635977297
2017-11-01,-1.56,-44.5,-1.6227758530435936,-1.321294458622165,-1.4720351558328795
2017-12-01,-1.58,-44.3,-1.6816760468720722,-1.2791750337342855,-1.480425540303179
2018-01-01,-1.6,-44.4,-1.7405762407005507,-1.3002347461782253,-1.520405493439388
2018-02-01,-1.59,-44.1,-1.7111261437863114,-1.2370556088464075,-1.4740908763163594
2018-03-01,-1.59,-44.1,-1.7111261437863114,-1.2370556088464075,-1.4740908763163594
2018-04-01,-1.59,-43.8,-1.7111261437863114,-1.1738764715145882,-1.4425013076504498
2018-05-01,-1.6,-44.1,-1.7405762407005507,-1.2370556088464075,-1.4888159247734791
2018-06-01,-1.62,-43.7,-1.7994764345290293,-1.1528167590706497,-1.4761465967998395
2018-07-01,-1.63,-43.8,-1.8289265314432679,-1.1738764715145882,-1.5014015014789281
2018-08-01,-1.63,-43.7,-1.8289265314432679,-1.1528167590706497,-1.4908716452569588
2018-09-01,-1.64,-43.5,-1.8583766283575072,-1.1106973341827702,-1.4845369812701388
2018-10-01,-1.63,-43.0,-1.8289265314432679,-1.0053987719630728,-1.4171626517031704
2018-11-01,-1.63,-42.6,-1.8289265314432679,-0.921159922187315,-1.3750432268152915
2018-12-01,-1.62,-42.5,-1.7994764345290293,-0.9001002097433752,-1.3497883221362024
2019-01-01,-1.63,-41.6,-1.8289265314432679,-0.7105627977479201,-1.2697446645955939
2019-02-01,-1.63,-41.3,-1.8289265314432679,-0.6473836604161007,-1.2381550959296843
2019-03-01,-1.63,-40.2,-1.8289265314432679,-0.4157268235327674,-1.1223266774880176
2019-04-01,-1.63,-40.4,-1.8289265314432679,-0.45784624842064553,-1.1433863899319567
2019-05-01,-1.62,-39.7,-1.7994764345290293,-0.31042826131306994,-1.0549523479210496
2019-06-01,-1.61,-38.5,-1.77002633761479,-0.05771171198579539,-0.9138690248002928
2019-07-01,-1.6,-38.1,-1.7405762407005507,0.026527137789962296,-0.8570245514552942
2019-08-01,-1.6,-37.7,-1.7405762407005507,0.11076598756571998,-0.8149051265674154
2019-09-01,-1.59,-35.7,-1.7111261437863114,0.53196023644451,-0.5895829536709007
2019-10-01,-1.59,-36.2,-1.7111261437863114,0.42666167422481244,-0.6422322347807495
2019-11-01,-1.57,-38.6,-1.652225949957833,-0.07877142442973518,-0.8654986871937841
2019-12-01,-1.56,-38.9,-1.6227758530435936,-0.14195056176155307,-0.8823632074025733
2020-01-01,-1.49,-39.0,-1.4166251746439187,-0.16301027420549288,-0.7898177244247058
2020-02-01,-1.44,-38.2,-1.2693746900727223,0.0054674253460225,-0.6319536323633499
2020-03-01,-1.4,-30.8,-1.1515743024157652,1.5638861461975457,0.20615592189089027
2020-04-01,-1.31,-21.6,-0.8865234301876125,3.501379691039979,1.3074281304261832
2020-05-01,-1.19,-24.4,-0.5331222672167412,2.911707742609674,1.1892927376964664
2020-06-01,-1.12,-28.1,-0.3269715888170669,2.132498382183912,0.9027633966834225
2020-07-01,-1.08,-29.6,-0.20917120116010982,1.8166026955248196,0.8037157471823548
2020-08-01,-1.05,-29.8,-0.120820910417392,1.7744832706369407,0.8268311801097743
2020-09-01,-1.04,-32.6,-0.09137081350315274,1.1848113222066345,0.5467202543517409
2020-10-01,-1.04,-33.1,-0.09137081350315274,1.0795127599869372,0.4940709732418922
2020-11-01,-1.05,-33.5,-0.120820910417392,0.9952739102111794,0.4372264998968937
2020-12-01,-1.06,-31.7,-0.1502710073316313,1.3743487342020906,0.6120388634352296
2021-01-01,-1.08,-29.8,-0.20917120116010982,1.7744832706369407,0.7826560347384154
2021-02-01,-1.08,-33.8,-0.20917120116010982,0.9320947728793615,0.36146178585962585
2021-03-01,-1.1,-36.0,-0.2680713949885884,0.468781099112692,0.1003548520620518
2021-04-01,-1.1,-35.1,-0.2680713949885884,0.6583185111081472,0.1951235580597794
2021-05-01,-1.11,-34.4,-0.2975214919028276,0.8057364982157242,0.2541075031564483
2021-06-01,-1.13,-37.1,-0.35642168573130556,0.23712426222935726,-0.05964871175097415
2021-07-01,-1.14,-37.6,-0.38587178264554484,0.1318257000096598,-0.1270230413179425
2021-08-01,-1.14,-37.1,-0.38587178264554484,0.23712426222935726,-0.07437376020809379
2021-09-01,-1.15,-37.8,-0.41532187955978406,0.08970627512178168,-0.16280780221900118
2021-10-01,-1.15,-39.0,-0.41532187955978406,-0.16301027420549288,-0.28916607688263846
2021-11-01,-1.16,-39.4,-0.44477197647402333,-0.24724912398125057,-0.34601055022763694
2021-12-01,-1.17,-38.8,-0.4742220733882626,-0.12089084931761328,-0.29755646135293795
2022-01-01,-1.19,-36.7,-0.5331222672167412,0.32136311200511497,-0.1058795776058131
2022-02-01,-1.21,-35.2,-0.5920224610452197,0.6372587986642074,0.022618168809493855
2022-03-01,-1.23,-32.3,-0.6509226548736983,1.247990459538454,0.2985339023323778
2022-04-01,-1.24,-32.1,-0.6803727517879375,1.2901098844263321,0.3048685663191973
2022-05-01,-1.26,-33.2,-0.7392729456164161,1.0584530475429974,0.15959005096329065
2022-06-01,-1.27,-31.8,-0.7687230425306554,1.3532890217581508,0.2922829896137477
2022-07-01,-1.29,-30.1,-0.8276232363591339,1.711304133305122,0.44184044847299403
2022-08-01,-1.31,-32.3,-0.8865234301876125,1.247990459538454,0.1807335146754207
2022-09-01,-1.33,-31.0,-0.945423624016091,1.5217667213096668,0.2881715486467879
2022-10-01,-1.33,-30.6,-0.945423624016091,1.6060055710854246,0.3302909735346668
2022-11-01,-1.35,-29.9,-1.0043238178445695,1.7534235581930016,0.37454987017421604
2022-12-01,-1.35,-30.9,-1.0043238178445695,1.5428264337536066,0.26925130795451857
2023-01-01,-1.35,-31.2,-1.0043238178445695,1.479647296421788,0.23766173928860923
2023-02-01,-1.33,-31.0,-0.945423624016091,1.5217667213096668,0.2881715486467879
2023-03-01,-1.32,-33.7,-0.9159735271018518,0.9531544853232998,0.018590479110724034
2023-04-01,-1.32,-35.0,-0.9159735271018518,0.679378223552087,-0.11829765177488238
2023-05-01,-1.32,-36.2,-0.9159735271018518,0.42666167422481244,-0.24465592643851966
2023-06-01,-1.31,-36.4,-0.8865234301876125,0.3845422493369343,-0.2509905904253391
2023-07-01,-1.3,-37.0,-0.8570733332733732,0.25818397467329707,-0.29944467930003804
